ID,Label
1222285636.0,-1
1222293234.0,-1
1222296825.0,-1
1222294915.0,-1
1222296843.0,-1
1222334062.0,-1
1222293272.0,-1
1222283461.0,-1
1222293371.0,-1
1222293233.0,-1
54433326.0,-1
54733029.0,-1
54833024.0,-1
1222334073.0,-1
55033071.0,-1
1222297802.0,-1
55333071.0,2
1222297803.0,-1
135833063.0,-1
55833025.0,-1
55933311.0,-1
56233324.0,-1
56433029.0,-1
78333068.0,-1
58533309.0,-1
58633025.0,-1
103033319.0,-1
58833076.0,-1
59533321.0,-1
59933073.0,-1
60033313.0,2
1222334075.0,2
1222295325.0,-1
87433069.0,-1
60533321.0,-1
61433351.0,-1
61533321.0,-1
110133063.0,-1
62133351.0,2
1222334077.0,-1
62233321.0,-1
86233069.0,-1
135933325.0,-1
110433076.0,-1
62733331.0,2
1222334079.0,2
1222298206.0,-1
62933071.0,-1
90433311.0,-1
65533309.0,-1
61633311.0,2
1222334082.0,-1
136433068.0,2
1222297812.0,-1
80133071.0,-1
63633326.0,-1
1222298208.0,2
1222334086.0,-1
64133321.0,-1
64233068.0,-1
74633328.0,-1
92633351.0,-1
64433073.0,2
1222334087.0,2
1222297814.0,2
1222295213.0,-1
105333327.0,-1
105433076.0,-1
64933029.0,-1
61133313.0,-1
93933319.0,2
1222334088.0,2
1222298211.0,-1
67333068.0,-1
67533321.0,-1
1222334089.0,-1
67833069.0,-1
1222292799.0,2
1222298216.0,2
1222297807.0,2
1222298217.0,-1
68233029.0,-1
68333026.0,-1
65033324.0,2
1222297825.0,2
1222334091.0,-1
110633063.0,2
1222297817.0,2
1222297818.0,-1
137133311.0,-1
69033330.0,-1
69133065.0,-1
69233065.0,-1
1222284756.0,-1
1222334092.0,-1
69633325.0,-1
69933326.0,-1
70033076.0,-1
70133324.0,2
1222334094.0,2
1222334095.0,-1
70633069.0,-1
108833065.0,-1
70933328.0,-1
71233325.0,-1
71533073.0,2
1222334097.0,-1
71733026.0,2
1222298225.0,2
1222298226.0,2
1222297832.0,-1
1222334098.0,-1
1222334099.0,-1
90033068.0,-1
109633063.0,2
1222334102.0,-1
1222334103.0,-1
74133065.0,-1
1222334104.0,-1
74933024.0,-1
89833351.0,-1
137833311.0,-1
69533069.0,2
1222292806.0,-1
75333328.0,2
1222334108.0,2
1222297873.0,-1
76333351.0,2
1222297829.0,-1
76433068.0,2
1222334111.0,-1
138133063.0,-1
1222334112.0,-1
1222334114.0,2
1222334115.0,-1
1222298232.0,-1
77633327.0,-1
77533067.0,-1
98233351.0,2
1222334117.0,-1
104033319.0,-1
78233068.0,2
1222334118.0,2
1222293104.0,2
1222284776.0,2
1222334120.0,-1
107933024.0,2
1222334121.0,-1
80533076.0,-1
80933073.0,2
1222334122.0,-1
81233076.0,-1
139533313.0,2
1222298249.0,-1
81633325.0,-1
1222298250.0,-1
81833322.0,-1
81933351.0,-1
82133063.0,-1
81733024.0,-1
82333068.0,-1
82533313.0,2
1222298251.0,-1
1222298252.0,2
1222292807.0,2
1222334124.0,-1
82933063.0,-1
1222298253.0,-1
83133024.0,-1
83233442.0,-1
83033063.0,-1
83333025.0,2
1222297841.0,2
1222297842.0,-1
60733028.0,-1
1222334126.0,2
1222334127.0,2
1222334128.0,-1
66033351.0,-1
83833328.0,-1
73133324.0,-1
84533326.0,-1
84033328.0,-1
84633028.0,2
1222297843.0,2
1222334130.0,2
1222334131.0,2
1222334132.0,-1
102033313.0,-1
85633029.0,-1
85933325.0,2
1222297836.0,-1
106833063.0,2
1222292819.0,-1
1222297837.0,2
1222334135.0,-1
87533067.0,-1
61933068.0,-1
103633069.0,2
1222334137.0,-1
1222297845.0,-1
1222284824.0,-1
101733027.0,-1
89033029.0,-1
89133330.0,-1
1222297847.0,2
1222334139.0,-1
89533328.0,-1
1222297844.0,-1
89933073.0,-1
138933319.0,2
1222334144.0,-1
90733313.0,-1
91033351.0,-1
91133322.0,-1
91233025.0,2
1222296548.0,-1
1222297859.0,-1
1222334145.0,-1
139433328.0,2
1222298263.0,-1
92033027.0,-1
92133029.0,-1
92333324.0,-1
92433067.0,-1
56133025.0,2
1222297864.0,-1
139833076.0,-1
1222334147.0,-1
93033325.0,2
1222334148.0,-1
1222297865.0,-1
93833067.0,2
1222298283.0,-1
94133328.0,-1
94433027.0,2
1222334149.0,-1
100633313.0,-1
94733325.0,-1
113433065.0,-1
138533330.0,-1
140233309.0,-1
95633025.0,2
1222297815.0,-1
95933067.0,-1
1222334150.0,-1
1222334151.0,2
1222298284.0,-1
96733325.0,-1
96833066.0,-1
97533026.0,-1
97933065.0,-1
98433071.0,-1
92533067.0,2
1222298287.0,-1
98833063.0,-1
1222334156.0,-1
82633324.0,-1
85233321.0,-1
99233076.0,2
1222334158.0,-1
1222292889.0,-1
1222295319.0,-1
141233325.0,-1
141433328.0,2
1222334159.0,-1
99833311.0,-1
141733330.0,-1
99933071.0,-1
100133026.0,-1
100233326.0,-1
113833325.0,2
1222298288.0,-1
100833351.0,-1
101433068.0,-1
101533027.0,-1
1222297867.0,-1
101933026.0,-1
102533063.0,-1
102933029.0,-1
103233328.0,-1
103333313.0,-1
103433025.0,-1
108533026.0,-1
83733076.0,-1
104233313.0,-1
104533330.0,-1
104633071.0,2
1222297879.0,-1
104833327.0,-1
104933324.0,-1
1222334164.0,-1
105533025.0,2
1222334165.0,-1
105833025.0,-1
1222297878.0,-1
70833328.0,-1
1222334167.0,2
